Category, Mapped value
rent,
grocery,
dining,
transportation,
shopping,
loan,
pet,
utility,
personal,
insurance,
phone,
gym,
wellness,
travel,
home good,
medical,
giving,
entertainment,
interest,
other,
unknown,
